entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
0.000104007,0.055172389,0.26838279,836,8439,32566,5137,1186,1562,155,488,2355,0,0,0,0,0,30
9.81E-05,0.054306074,0.266266994,932,8926,34024,5459,1386,2021,162,499,3012,0,0,0,0,0,22
8.87E-05,0.053306328,0.267857271,1006,9780,36445,6180,1624,2400,177,580,3821,0,0,0,0,0,28
8.69E-05,0.053241942,0.269892238,1011,9874,37260,6427,1660,2508,175,613,3993,0,0,0,0,0,32
8.55E-05,0.052920472,0.270118738,1020,9926,37986,6592,1680,2561,176,645,4065,0,0,0,0,0,19
7.82E-05,0.052333462,0.272993059,1105,10645,41045,6990,1890,2838,181,732,4661,0,0,0,0,0,20
7.19E-05,0.052645424,0.275432362,1198,11318,44025,7854,2458,3409,197,996,6069,10,0,0,0,0,20
6.80E-05,0.053238942,0.282127771,1262,11764,46589,8235,2686,3651,197,1100,6670,0,0.668713227,0,0,0,33
6.42E-05,0.053911019,0.287992196,1305,12069,49382,8473,2982,3925,200,1194,7158,0,3.568713227,0,0,5,23
6.15E-05,0.054598929,0.294313117,1323,12283,51961,8624,3281,4214,193,1274,7583,0,5.627713227,0,0,1,19
5.97E-05,0.054804209,0.299434349,1342,12432,53487,8770,3345,4325,190,1303,7835,0,7.089603227,0,0,0,34
5.87E-05,0.055006978,0.303094328,1357,12511,54823,8955,3423,4447,190,1321,8017,0,8.127545127,0,0,0,22
5.73E-05,0.055227532,0.309311918,1377,12714,57388,9288,3673,4661,192,1405,8579,0,8.864483876,0,0,0,9
5.63E-05,0.055832079,0.313790501,1409,12870,59750,9545,3927,4788,185,1496,9116,0,9.387710388,0,0,0,13
5.50E-05,0.056105256,0.315447191,1449,13058,61968,9754,4140,4982,181,1595,9781,0,10.66871323,0,0,0,28
5.36E-05,0.055775093,0.318676087,1454,13194,63895,9610,4292,4752,176,1685,9828,0,7.768713227,0,0,0,20
5.30E-05,0.056092296,0.315599114,1470,13163,64430,9281,4369,4616,165,1714,9986,0,5.709713227,0,0,0,23
5.16E-05,0.056062578,0.319326627,1496,13272,66956,9231,4523,4665,165,1756,10582,0,4.247823227,0,0,0,29
4.92E-05,0.055809303,0.323303347,1524,13489,70964,9407,4795,4827,169,1854,11519,0,3.209881327,0,0,0,23
4.87E-05,0.055716772,0.324021882,1554,13486,71148,9084,4828,4730,162,1940,11843,0,2.472942578,0,0,0,16
4.97E-05,0.055632314,0.322142602,1511,13214,70152,8107,4477,4311,136,1796,11279,0,1.949716066,0,0,0,19
5.08E-05,0.055599684,0.322695465,1495,13069,68532,7845,4381,4159,131,1785,11081,0,0,0,0,0,44
5.36E-05,0.056245899,0.322369517,1458,12857,63832,7264,4004,3836,116,1696,10493,0,0,0,0,0,17
5.66E-05,0.0560468,0.31813918,1419,12589,58864,6836,3664,3352,107,1617,10031,0,0,0,0,0,26
5.78E-05,0.055723931,0.317403315,1408,12525,57352,6824,3587,3256,105,1607,9792,0,0,0,0,0,36
5.87E-05,0.055478751,0.317528713,1391,12451,55949,6693,3510,3145,104,1591,9663,0,0,0,0,0,14
6.15E-05,0.055036799,0.311099318,1357,12080,50375,6009,3151,2839,88,1461,8957,0,0,0,0,0,18
6.41E-05,0.054460767,0.305213452,1303,11693,45446,5421,2764,2551,79,1345,8260,0,0,0,0,0,10
6.71E-05,0.053145676,0.296370636,1256,11340,40529,4876,2438,2253,68,1209,7472,0,0,0,0,0,15
7.24E-05,0.052110729,0.286443231,1177,10731,35696,4373,2052,1964,60,1116,6727,0,0,0,0,0,18
7.57E-05,0.052082954,0.286169905,1112,10514,35183,4391,1881,1961,58,1059,6238,0,0,0,0,0,15
7.83E-05,0.052166765,0.288557656,1090,10428,35377,4920,1887,2158,64,1054,6169,10,0.668713227,0,0,0,27
8.41E-05,0.050911383,0.2809749,1018,9934,31754,4762,1628,2006,58,946,5341,0,3.568713227,0,0,0,25
8.80E-05,0.050841135,0.279273889,1007,9844,31280,5094,1581,2099,59,842,5073,0,5.627713227,0.668713227,0,0,23
8.99E-05,0.050931938,0.274834164,997,9823,31548,5503,1557,2243,68,824,4933,0,7.089603227,3.568713227,0,0,20
8.66E-05,0.051166009,0.270087948,987,10103,33063,5790,1588,2387,68,843,5155,0,8.127545127,5.627713227,0,0,21
8.27E-05,0.052781062,0.271556947,1053,10449,37163,6274,1827,2836,75,936,5796,0,8.864483876,10,0,0,19
7.90E-05,0.054139893,0.27946517,1107,10738,41194,6729,2048,3362,82,1004,6320,0,9.387710388,10,0,0,20
7.83E-05,0.054277906,0.280323365,1111,10791,41742,6706,2076,3440,84,1011,6393,0,10.66871323,10,0,0,25
7.76E-05,0.054345723,0.2825261,1114,10816,42308,6788,2102,3514,83,1043,6470,0,7.768713227,10.66871323,0,0,24
7.49E-05,0.055280669,0.287927832,1145,11117,47021,7478,2354,3800,89,1145,7084,0,5.709713227,7.768713227,0,0,18
7.09E-05,0.054931813,0.287743511,1224,11611,51496,8454,2647,4248,106,1246,7983,0,4.247823227,5.709713227,0,0,24
6.79E-05,0.054768504,0.288355863,1255,11854,55779,9063,2935,4698,119,1364,8735,0,3.209881327,10,0,0,40
6.42E-05,0.054157558,0.286118006,1298,12187,60228,9984,3199,5152,124,1463,9434,0,2.472942578,0,0,0,26
6.29E-05,0.054255403,0.281787187,1316,12214,60692,10240,3284,5266,128,1528,9577,0,1.949716066,0,0,0,27
6.42E-05,0.054923696,0.281042865,1308,12096,57837,9674,3108,5028,119,1511,9062,0,0,0,0,0,28
6.43E-05,0.054821192,0.27885874,1303,12072,57477,9674,3106,5110,119,1531,9031,0,0,0,0,0,26
6.30E-05,0.054583974,0.27796435,1341,12301,58107,10205,3115,5348,125,1617,9395,0,0,0,0,0,29
6.24E-05,0.054578141,0.275595744,1393,12539,58857,11034,3178,6336,132,1942,10094,0,0,0,0,0,11
6.23E-05,0.054665361,0.275792969,1410,12555,59278,11872,3246,6687,138,2001,10361,0,0,0,0,0,37
6.17E-05,0.054765078,0.276178243,1417,12629,60269,12347,3290,6873,144,2085,10640,0,0,0,0,0,24
